org name,brooklyn,bronx,manhattan,queens,statenisland,brooklyn neighborhoods,bronx neighborhoods,manhattan neighborhoods,queens neighborhoods,staten island neighborhoods,accepting - open,accepting - limited,accepting - closed,target population,grades served,services offered,response id,orgphone,addressone,addresstwo,city,state,zip,program description
Young Women's Leadership Network,TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,FALSE,FALSE,",English language learners,Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,Gender",",Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,",40233934,212-207-3221 x204,322 8th Avenue,14th Floor,New York,NY,10001,"CBI places full-time college guidance experts in public schools to work one-on-one with every student as early as the sixth grade. We combine intimate knowledge of our students and trusted connections with a diverse network of colleges, enabling us to optimize college placement and maximize financial aid. Our comprehensive approach creates a culture of success in each of our partner high schools. And the results are clear – we have 14 consecutive years of demonstrated success in increasing the college enrollment and attainment rate for low-income students. For CBI students, the question is not “if” but “where” they will go to college."
College Access: Research & Action (CARA),TRUE,TRUE,TRUE,TRUE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights","Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,",",College Retention,",40420727,212-817-8704,College Access: Research & Action (CARA) - CUNY Graduate Center,"365 Fifth Avenue, Room 6203.04",New York,NY,10016,"CARA trains students who have completed one year of college to work with incoming students to support them through the obstacles to persistence through their first year of college. Trained college students provide one-on-one support, facilitate workshops, connect students to campus resources, and host events that help integrate students onto campus."
The Urban Assembly,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,",First generation college students,",",Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,Career Preparation,",40422547,"212-867-3060	",90 Broad Street,,New York,"NY					","10004	","We support UA schools to improve college counseling, instruction, and school environment and opportunities so our students are prepared and able to succeed in their post secondary lives. "
The Urban Assembly,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,",First generation college students,",",Middle school (6-8),High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",40672686,212-867-3060,90 Broad Street,2101,,NY,10004,"We create and support Urban Assembly schools.  We support our schools around college and career readiness, social and emotional learning, instruction and research and evaluation.  "
The Urban Assembly,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,"Academic Performance,Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,",39773006,212-867-3060,90 Broad Street,2101,New York,NY,10004,"UA creates schools for the neediest New Yorkers.  We provide instructional, data and college and career readiness support for our schools  "
The Urban Assembly,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,,",Middle school (6-8),High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",44259831,212-873-6600,90 Broad Street,Suite 2101,New York,NY,10004,The Urban Assembly supports our schools in providing the best possible education and counseling to our students so they are able to be successful in their postsecondary lives.   
The Children's Aid Society,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,","College Readiness,College Matriculation,College Retention,Career Preparation,",42866958,212-942-5649,4 West 125th street, 4FL,New York,NY,10027,"The Children's Aid Society (CAS) Adolescence Division College Success Program currently supports 75 high school graduates, most of whom entered college this fall 2015 in the NYC area. Students are supported academically, financially, and socio-emotionally through bi-weekly check-ins, one-on-one or in groups, by phone, email or in-person."
OneGoal (NYC),TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,"Academic Performance,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",40509933,646-837-9737,55 Exchange Place,Ste. 503,New York,NY,10005,"OneGoal is a teacher-led college enrollment and persistence organization.  We partner with highly effective teachers in low-income schools to deliver a program model to a cohort of 25-30 low-to-middle-performing students that includes a comprehensive curriculum, access to a proprietary data system, teacher coaching, and college partnerships.  OneGoal teachers work with cohorts of students for 3 years, from junior year of high school through the first day of sophomore year of college."
iMentor,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,",First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",40101909,646-797-4471,30 Broad Street,Floor 9,New York,NY,10004,"iMentor builds mentoring relationships that empower students from low-income communities to graduate high school, succeed in college, and achieve their ambitions. Students work with their mentors one-on-one, in-person and online, to develop strong personal relationships, nurture a college aspiration, navigate the college application process, and build critical skills that lead to college success."
Blue Engine,TRUE,TRUE,TRUE,FALSE,FALSE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint","Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,"Academic Performance,Poverty guidelines/socioeconomic status,",",High School (9-12),","College Readiness,",45408948,646-780-1446,75 Broad Street,Suite 2900,Brooklyn,NY,10004,"Blue Engine, seeking to close the gap between what it means to be college eligible and truly college ready, partners with public high schools serving low-income communities to increase academic rigor in core gateway subjects and prepare dramatically greater numbers of students for postsecondary success. 



Teams of Blue Engine Teaching Assistants work alongside lead teachers to provide data-driven, differentiated small group instruction in regularly scheduled math and English/Language Arts classes across the entire grade. BETAs provide additional personalized tutoring in extended learning time and also help students develop critical social cognitive competencies. "
Jewish Home Lifecare,FALSE,TRUE,TRUE,FALSE,FALSE,,"Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,"Academic Performance,Disconnected youth/Out of school youth,Students with IEP or other learning challenges,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,Career Preparation,",40998014,212-870-4759,120 West 106th St.,,New York,NY,10025,"College and career readiness for at risk 14-24 year olds focused on preparing the next generation of elder care professionals. Academic support, college prep, psycho social support, career readiness, mentoring, intergenerational activities, work based learning, internship rotations, etc."
Metropolitan College of New York,FALSE,TRUE,TRUE,FALSE,FALSE,,"Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,,,,41730088,212-343-1234,431 Canal Street,,New York,NY ,10013,
CUNY,FALSE,TRUE,TRUE,FALSE,FALSE,,"Bedford Park,Concourse/Highbridge,East Tremont,Hunts Point,Morrisania,Mott Haven,Pelham Parkway,Riverdale,Throgs Neck,Unionport/Soundview,University Heights,Williamsbridge","Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,",Disconnected youth/Out of school youth,High school equivalency,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",44935298,718-839-8863,2122 White Plains Road,,Bronx,NY,10462,
Double Discovery Center at Columbia University,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,",First generation college students,Racial or ethnic minorities,","Elementary school (K-5),Middle school (6-8),High School (9-12),","College Readiness,College Matriculation,College Retention,Career Preparation,",41006239,212-854-4017,2920 Broadway Lerner Hall Room 306,MC 2604,New York,NY,10027,"We serve first generation low income students in a comprehensive out-of-school time college access, preparation, and success program."
City College of New York,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,,",College,",",College Retention,",44924241,212-650-8222,160 Convent Avenue,Marshak J-15,New York,NY,10031,We serve enrolled City College of New York students who are in temporary financial emergency. We assist them with short term grants that will enable them to remain in school 
Hunter College Black Male Initiative,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,"Academic Performance,First generation college students,Racial or ethnic minorities,Gender",",College,","College Readiness,College Matriculation,College Retention,Career Preparation,",43324593,212-650-3458,695 Park Avenue,Room E1239,New York,NY,10065,"We promote effective mentoring, leadership skills and community service. We are a comprehensive program centered around robust structured mentoring, academic excellence, and life long skills development for Black and Latino college males."
Guttman Community College,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,",",College,",,44926727,646-313-8064,50 West 40th street,,New York,NY,10018,"The Single Stop Program at Guttman Community College (GCC) provides students and their families with social services that address barriers preventing them from attending and completing school. These services are provided in collaboration with GCC, Single Stop, and external partners"
Pace University,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,",Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,",",College Matriculation,College Retention,Career Preparation,",45413528,212-346-1112,1 Pace Plaza,,New York,NY,10038,"The Pace federal TRIO Student Support Services (SSS) Program based on the New York City Campus provides intense and sustained support services to eligible low-income, first-generation and/or disabled undergraduate students with academic need to help them remain in college, advance steadily in their collegiate academic work and graduate in four-to-six years. SSS also provides career development support for both internship/job placement and the pursuit of professional or graduate school study."
Goddard Riverside Community Center,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,",Disconnected youth/Out of school youth,High school equivalency,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",40432039,212-678-4667,352 West 110th Street,Storefront,New York,NY,10025,"The Options Center supports New Yorkers from all five boroughs to enroll in and persist at good-fit colleges. The heart of the program is one-to-one educational and financial aid counseling supplemented by group workshops, special events, college trips, campus visits, fee waivers, and last dollar grants and scholarships. The program is open to 11th and 12th grade NYC public and parochial school students as well as adults with a high school diploma or equivalency. Those who are applying to college for the first time or who are seeking to transfer or reenroll are eligible."
Pace University,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,TRUE,"Academic Performance,First generation college students,",",College,","College Readiness,College Matriculation,College Retention,",45453642,212-346-1519,1 Pace Plaza,,New York,NY,10038,"The Challenge to Achievement at Pace (CAP) Program is an intensive academic support and advisement program at Pace University designed to assist first-year students in meeting the demands of a college education, navigating the transition from high school to college, and building a solid foundation for a successful overall college experience. "
Barnard College Academic Success and Enrichment Programs,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,"Academic Performance,Poverty guidelines/socioeconomic status,First generation college students,Gender",",College,",",College Matriculation,College Retention,",44206794,212-854-3583,3009 Broadway,001 Milbank ,New York,NY,10027,The Academic Success and Enrichment programs provide access to a Barnard education for high-achieving students from disadvantaged financial backgrounds.
"Comprehensive Development, Inc.",FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,",English language learners,Poverty guidelines/socioeconomic status,Racial or ethnic minorities,",",High School (9-12),","College Readiness,College Retention,Career Preparation,",43335778,212-353-2010,240 Second Avenue,,New York,NY,10003,"Provide older immigrant youth with College and Career Counseling, tutoring, support services,"
City College of New York,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,"Academic Performance,English language learners,Students with IEP or other learning challenges,First generation college students,Racial or ethnic minorities,Gender",",College,",",College Matriculation,",44932918,212-650-7556,160 Convent Avenue. Room MR20,Room J-20,New York,NY,10031,NCAA Division III Athletics
Guttman Community College/CUNY,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,,",College,",",College Matriculation,College Retention,",40173827,646-313-8010 ,Guttman Community College,50 West 40th Street,New York,NY,10018,"Guttman Community College (CUNY), located in midtown Manhattan, is an open admissions college. Applicants who have a high school diploma or GED are welcome to apply. First-year students are required to attend full-time.  Guttman offers students a supportive environment that connects classroom learning, career development and volunteer service opportunities."
John Jay College/CUNY,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,TRUE,FALSE,"Academic Performance,English language learners,Disconnected youth/Out of school youth,Poverty guidelines/socioeconomic status,First generation college students,",",High School (9-12),",,45309502,212-237-8280,524 West 59 street,,New York ,NY,10019,"Federally funded program.  Serve low-income first generation college bound students.  We provided academic tutoring, SAT Prep, Financial Aid Workshops, College selection information and a six week residential summer component.  "
Cornelia Connelly Center,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,"Academic Performance,Students with IEP or other learning challenges,First generation college students,","Elementary school (K-5),Middle school (6-8),High School (9-12),College,",",College Matriculation,College Retention,",45198757,212-982-2287,220 East 4th Street,,New York,NY,10009,"Cornelia Connelly Center (CCC) champions girls at risk, empowering them to realize their full potential from middle school through college and beyond.



We embrace each child entering our program, walking with her on a decades-long journey of growth in mind, heart and spirit. Our challenging, joyful middle school, Connelly Middle School of the Holy Child, fosters skills, resilience and compassion, while our innovative, holistic Graduate Support Program supports college aspirations and completion.

"
The Door - A Center of Alternatives,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,TRUE,FALSE,FALSE,",Disconnected youth/Out of school youth,High school equivalency,Poverty guidelines/socioeconomic status,First generation college students,",",High School (9-12),College,","College Readiness,College Matriculation,College Retention,",45216035,212-941-9090 x3251,555 Broome Street,,New York,NY,10013,"College Paths provides college access services including individual college counseling, financial aid and matriculation assistance, workshops, college trips, tutoring, SAT prep classes and service learning projects to in and out of school youth up to age 26 at our partner schools, The Door's main location, and at our satellite Bronx Youth Center. We offer additional college access and college success services to students ages16-24 in our high school equivalency classes or who earned their HSE elsewhere, or students who enroll at Bronx Community College and Hostos Community College. At our main location, college programs are integrated into The Door's wide range of wrap-around services including career, health, mental health, arts, legal and food and nutrition programs."
NYC iSchool,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,,,,41420815,917-237-7368,131 Ave of the Americas,,New York,NY,10013,
Single Stop at John Jay College ,FALSE,FALSE,TRUE,FALSE,FALSE,,,"Battery Park/Tribeca,Central Harlem,Chelsea/Clinton,East Harlem,Greenwich Village,Lower East Side,Manhattanville,Midtown Business District,Murray Hill/Stuyvesant,Upper East Side,Upper West Side,Washington Heights",,,FALSE,FALSE,FALSE,",Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,",",College Retention,",45274421,212-887-6212,524 West 59th Street,New Building Suite L.68,New York,NY,10019,
SUNY Brooklyn Educational Opportunity Center (EOC),TRUE,FALSE,FALSE,FALSE,TRUE,"Bay Ridge ,Bedford Stuyvesant ,Bensonhurst ,Borough Park ,Brownsville ,Bushwick ,Canarsie,Coney Island,Crown Heights North,Crown Heights South,East Flatbush,East New York,Flatbush/Midwood,Fort Greene/Brooklyn Heights,Park Slope,Sheepshead Bay,Sunset Park,Williamsburg/Greenpoint",,,,"South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,"Academic Performance,English language learners,High school equivalency,Poverty guidelines/socioeconomic status,First generation college students,Racial or ethnic minorities,",",College,","College Readiness,College Retention,Career Preparation,",43704712,718-802-3321,111 Livingston Street,Suite 205,Brooklyn,NY ,11201,The BEOC Pre-Freshman Academy/College Preparation Program is designed to help individuals make the transition into college and acquire skills and knowledge necessary to successfully navigate college environment and complete college courses. This program is designed for students in need of skills development in English (reading & writing) and Math (pre-algebra & algebra) over 2 terms/15 weeks. Individuals who need intervention in one subject only (English or Math) may register for 1 term/7.5 weeks. Students are expected to have applied to college before enrolling at BEOC or while enrolled in the program. 
College of Staten Island/CUNY,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,"South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,",English language learners,Racial or ethnic minorities,",",College,",,45328690,718-982-3405,2800 Victory Blvd.,,Staten Island,NY,10314,Learning Communities are when two or more courses are linked together and curriculum is integrated.
College of Staten Island,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,"South Beach,St. George,Tottenville",TRUE,FALSE,FALSE,"Academic Performance,English language learners,Students with IEP or other learning challenges,Poverty guidelines/socioeconomic status,Racial or ethnic minorities,",",Middle school (6-8),High School (9-12),","College Readiness,Career Preparation,",45324216,718-982-2352,2800 Victory Blvd,2A-204,Staten Island,NY,10314,"College of Staten Island Liberty Partnerships Program serves students at risk of academic failure through mentoring, tutoring, college readiness, and career exploration and workforce development."
York College/CUNY,FALSE,FALSE,FALSE,TRUE,FALSE,,,,"Astoria,Bayside,Elmhurst/Corona,Flushing,Fresh Meadows/Briarwood,Howard Beach,Jackson Heights,Jamaica/St. Albans,Queens Village,Rego Park/Forest Hills,Ridgewood/Glendale,Sunnyside/Woodside,The Rockaways,Woodhaven",,TRUE,FALSE,FALSE,"Academic Performance,First generation college students,Racial or ethnic minorities,",",College,",",College Matriculation,College Retention,",39590104,718-262-2070,York college,94-20 guy r brewer,Jamaica,NY,11451,York college student may receive 1-1 tutoring or participate in workshops to enhance their writing.
